Team Number,Team Name,Match Number,Comp ID,Scout Name,Initiation Line,(A) Lower PC,(A) Outer PC,(A) Inner PC,(A) Missed PC,(A) Made/Shot PC,(A) Points,(T) Lower PC,(T) Outer PC,(T) Inner PC,(T) Missed PC,(T) Made:Shot PC,(T) Cycles,(T) Shot/Cycle PC,(T) Scored/Cycle,(T) Control Panel Rotation,(T) Control Panel Position,(T) Points,(E) Parked,(E) Attemped Climb,(E) Successful Climb,(E) Balanced Climb,(G) Robot Disabled,(E) Points, TOTAL SCORE
5090,TorqueNados,54,misou,ella,1,0,0,0,0,0.0%,5,6,0,0,4,60.0%,3,3.3333333333333335,2.0,0,0,6,0,1,1,0,0,25,36
5532,The G.O.A.T.S,55,misou, ella,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
5214,The Mighty CavBots,56,misou, ella,1,0,0,0,0,0.0%,5,5,0,0,1,83.33333333333334%,2,3.0,2.5,0,0,5,0,1,1,0,0,25,35
8179,Robo-Falcons,57,misou, ella,1,0,0,0,2,0.0%,5,0,1,0,3,25.0%,1,4.0,1.0,0,0,2,0,1,1,0,0,25,32
6742,Augmented Jays,58,misou,,1,3,0,0,0,100.0%,11,0,0,0,0,0.0%,0,1,1,0,0,0,0,1,1,0,0,25,36
548,Robostangs,60,misou,,1,0,0,0,3,0.0%,5,0,15,0,1,93.75%,4,4.0,3.75,0,0,30,0,0,1,0,0,25,60
4854,TrobotsTrobots,62,misou, ella,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
3414,Hackbots,64,misou,,1,0,0,0,0,0.0%,5,0,6,0,7,46.15384615384615%,4,3.25,1.5,0,0,12,1,1,0,0,0,5,22
7865,Hope of Detroit Robotics,55,misou,Gavin Drews,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
5531,Orange Crush,56,misou,Gavin D.,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
1481,The Riveters,57,misou,Gavin D.,1,0,2,0,2,50.0%,13,0,3,0,3,50.0%,3,2.0,1.0,0,0,6,0,0,1,1,0,40,59
4130,The Blue Devils,58,misou,Gavin D.,1,0,3,0,1,75.0%,17,0,12,0,3,80.0%,4,3.75,3.0,0,0,24,0,1,0,0,0,0,41
3414,Hackbots,59,misou,Evan,1,0,2,0,1,66.66666666666666%,13,0,8,1,4,69.23076923076923%,4,3.25,2.25,0,0,19,0,0,1,0,0,25,57
1481,The Riveters,60,misou,Evan,1,0,3,0,0,100.0%,17,0,8,1,1,90.0%,2,5.0,4.5,0,0,19,1,0,0,0,0,5,41
2591,RedTails,61,misou,Evan,0,0,0,0,0,0.0%,0,0,0,0,1,0.0%,1,1.0,0.0,0,0,0,1,0,0,0,0,5,5
3538,RoboJackets,62,misou,Evan,1,0,4,1,1,83.33333333333334%,27,0,16,0,6,72.72727272727273%,6,3.6666666666666665,2.6666666666666665,0,0,32,0,0,1,1,0,40,99
5577,Kinematic Wolves,63,misou,Evan,1,0,2,0,1,66.66666666666666%,13,0,0,0,4,0.0%,3,1.3333333333333333,0.0,0,0,0,1,0,0,0,0,5,18
